unified_id,overlap_map1,overlap_map2
1,C0,
2,C1,
3,C10,
4,C100,
5,C101,
6,C102,
7,C103,
8,C104,
9,C105,
10,C106,
11,C107,
12,C108,
13,C109,
14,C11,
15,C110,
16,C111,
17,C112,
18,C113,
19,C114,
20,C115,
21,C116,
22,C117,
23,C118,
24,C119,
25,C12,
26,C120,
27,C121,
28,C122,
29,C123,
30,C124,
31,C125,
32,C126,
33,C127,
34,C128,
35,C129,
36,C13,
37,C130,
38,C131,
39,C132,
40,C133,
41,C134,
42,C135,
43,C136,
44,C137,
45,C138,
46,C139,
47,C14,
48,C140,
49,C141,
50,C142,
51,C143,
52,C144,
53,C145,
54,C146,
55,C147,
56,C148,
57,C149,
58,C15,
59,C150,
60,C151,
61,C152,
62,C153,
63,C154,
64,C155,
65,C156,
66,C157,
67,C158,
68,C159,
69,C16,
70,C160,
71,C161,
72,C162,
73,C163,
74,C164,
75,C165,
76,C166,
77,C167,
78,C168,
79,C169,
80,C17,
81,C170,
82,C171,
83,C172,
84,C173,
85,C174,
86,C175,
87,C176,
88,C177,
89,C178,
90,C179,
91,C18,
92,C180,
93,C181,
94,C182,
95,C183,
96,C184,
97,C185,
98,C186,
99,C187,
100,C188,
101,C189,
102,C19,
103,C190,
104,C191,
105,C192,
106,C193,
107,C194,
108,C195,
109,C196,
110,C197,
111,C198,
112,C199,
113,C2,
114,C20,
115,C200,
116,C201,
117,C202,
118,C203,
119,C204,
120,C205,
121,C21,
122,C22,
123,C23,
124,C24,
125,C25,
126,C26,
127,C27,
128,C28,
129,C29,
130,C3,
131,C30,
132,C31,
133,C32,
134,C33,C306
135,C34,
136,C35,C44
137,C36,
138,C37,
139,C38,
140,C39,
141,C4,
142,C40,
143,C41,
144,C42,
145,C43,
146,C44,
147,C45,
148,C46,
149,C47,
150,C48,
151,C49,
152,C5,
153,C50,
154,C51,
155,C52,
156,C53,
157,C54,
158,C55,
159,C56,C95
160,C57,
161,C58,
162,C59,
163,C6,
164,C60,
165,C61,
166,C62,
167,C63,
168,C64,
169,C65,
170,C66,
171,C67,
172,C68,C126
173,C69,
174,C7,
175,C70,
176,C71,
177,C72,
178,C73,
179,C74,
180,C75,
181,C76,
182,C77,
183,C78,
184,C79,
185,C8,
186,C80,
187,C81,
188,C82,
189,C83,
190,C84,
191,C85,
192,C86,
193,C87,
194,C88,
195,C89,
196,C9,
197,C90,
198,C91,
199,C92,
200,C93,
201,C94,
202,C95,
203,C96,
204,C97,
205,C98,
206,C99,
207,,C0
208,,C1
209,,C10
210,,C100
211,,C101
212,,C102
213,,C103
214,,C104
215,,C105
216,,C106
217,,C107
218,,C108
219,,C109
220,,C11
221,,C110
222,,C111
223,,C112
224,,C113
225,,C114
226,,C115
227,,C116
228,,C117
229,,C118
230,,C119
231,,C12
232,,C120
233,,C121
234,,C122
235,,C123
236,,C124
237,,C125
238,,C127
239,,C128
240,,C129
241,,C13
242,,C130
243,,C131
244,,C132
245,,C133
246,,C134
247,,C135
248,,C136
249,,C137
250,,C138
251,,C139
252,,C14
253,,C140
254,,C141
255,,C142
256,,C143
257,,C144
258,,C145
259,,C146
260,,C147
261,,C148
262,,C149
263,,C15
264,,C150
265,,C151
266,,C152
267,,C153
268,,C154
269,,C155
270,,C156
271,,C157
272,,C158
273,,C159
274,,C16
275,,C160
276,,C161
277,,C162
278,,C163
279,,C164
280,,C165
281,,C166
282,,C167
283,,C168
284,,C169
285,,C17
286,,C170
287,,C171
288,,C172
289,,C173
290,,C174
291,,C175
292,,C176
293,,C177
294,,C178
295,,C179
296,,C18
297,,C180
298,,C181
299,,C182
300,,C183
301,,C184
302,,C185
303,,C186
304,,C187
305,,C188
306,,C189
307,,C19
308,,C190
309,,C191
310,,C192
311,,C193
312,,C194
313,,C195
314,,C196
315,,C197
316,,C198
317,,C199
318,,C2
319,,C20
320,,C200
321,,C201
322,,C202
323,,C203
324,,C204
325,,C205
326,,C206
327,,C207
328,,C208
329,,C209
330,,C21
331,,C210
332,,C211
333,,C212
334,,C213
335,,C214
336,,C215
337,,C216
338,,C217
339,,C218
340,,C219
341,,C22
342,,C220
343,,C221
344,,C222
345,,C223
346,,C224
347,,C225
348,,C226
349,,C227
350,,C228
351,,C229
352,,C23
353,,C230
354,,C231
355,,C232
356,,C233
357,,C234
358,,C235
359,,C236
360,,C237
361,,C238
362,,C239
363,,C24
364,,C240
365,,C241
366,,C242
367,,C243
368,,C244
369,,C245
370,,C246
371,,C247
372,,C248
373,,C249
374,,C25
375,,C250
376,,C251
377,,C252
378,,C253
379,,C254
380,,C255
381,,C256
382,,C257
383,,C258
384,,C259
385,,C26
386,,C260
387,,C261
388,,C262
389,,C263
390,,C264
391,,C265
392,,C266
393,,C267
394,,C268
395,,C269
396,,C27
397,,C270
398,,C271
399,,C272
400,,C273
401,,C274
402,,C275
403,,C276
404,,C277
405,,C278
406,,C279
407,,C28
408,,C280
409,,C281
410,,C282
411,,C283
412,,C284
413,,C285
414,,C286
415,,C287
416,,C288
417,,C289
418,,C29
419,,C290
420,,C291
421,,C292
422,,C293
423,,C294
424,,C295
425,,C296
426,,C297
427,,C298
428,,C299
429,,C3
430,,C30
431,,C300
432,,C301
433,,C302
434,,C303
435,,C304
436,,C305
437,,C307
438,,C308
439,,C309
440,,C31
441,,C310
442,,C311
443,,C312
444,,C313
445,,C314
446,,C315
447,,C316
448,,C317
449,,C318
450,,C319
451,,C32
452,,C320
453,,C321
454,,C322
455,,C323
456,,C324
457,,C325
458,,C326
459,,C327
460,,C328
461,,C329
462,,C33
463,,C330
464,,C331
465,,C332
466,,C333
467,,C334
468,,C335
469,,C336
470,,C337
471,,C338
472,,C339
473,,C34
474,,C340
475,,C341
476,,C342
477,,C343
478,,C344
479,,C345
480,,C346
481,,C347
482,,C348
483,,C349
484,,C35
485,,C350
486,,C351
487,,C352
488,,C353
489,,C354
490,,C355
491,,C356
492,,C357
493,,C358
494,,C359
495,,C36
496,,C360
497,,C361
498,,C362
499,,C363
500,,C364
501,,C365
502,,C366
503,,C367
504,,C368
505,,C369
506,,C37
507,,C370
508,,C371
509,,C372
510,,C373
511,,C374
512,,C375
513,,C376
514,,C377
515,,C378
516,,C379
517,,C38
518,,C380
519,,C381
520,,C382
521,,C383
522,,C384
523,,C385
524,,C386
525,,C387
526,,C388
527,,C389
528,,C39
529,,C390
530,,C391
531,,C392
532,,C393
533,,C394
534,,C395
535,,C396
536,,C397
537,,C398
538,,C399
539,,C4
540,,C40
541,,C400
542,,C401
543,,C402
544,,C403
545,,C404
546,,C405
547,,C406
548,,C407
549,,C408
550,,C409
551,,C41
552,,C410
553,,C411
554,,C412
555,,C413
556,,C414
557,,C415
558,,C416
559,,C417
560,,C418
561,,C419
562,,C42
563,,C420
564,,C421
565,,C422
566,,C423
567,,C424
568,,C425
569,,C426
570,,C427
571,,C428
572,,C429
573,,C43
574,,C430
575,,C431
576,,C432
577,,C433
578,,C434
579,,C435
580,,C436
581,,C437
582,,C438
583,,C439
584,,C440
585,,C441
586,,C442
587,,C443
588,,C444
589,,C445
590,,C446
591,,C447
592,,C448
593,,C449
594,,C45
595,,C450
596,,C451
597,,C452
598,,C453
599,,C454
600,,C455
601,,C456
602,,C457
603,,C458
604,,C459
605,,C46
606,,C460
607,,C461
608,,C462
609,,C463
610,,C464
611,,C465
612,,C466
613,,C467
614,,C468
615,,C469
616,,C47
617,,C470
618,,C471
619,,C48
620,,C49
621,,C5
622,,C50
623,,C51
624,,C52
625,,C53
626,,C54
627,,C55
628,,C56
629,,C57
630,,C58
631,,C59
632,,C6
633,,C60
634,,C61
635,,C62
636,,C63
637,,C64
638,,C65
639,,C66
640,,C67
641,,C68
642,,C69
643,,C7
644,,C70
645,,C71
646,,C72
647,,C73
648,,C74
649,,C75
650,,C76
651,,C77
652,,C78
653,,C79
654,,C8
655,,C80
656,,C81
657,,C82
658,,C83
659,,C84
660,,C85
661,,C86
662,,C87
663,,C88
664,,C89
665,,C9
666,,C90
667,,C91
668,,C92
669,,C93
670,,C94
671,,C96
672,,C97
673,,C98
674,,C99
